Country,City,University,CV_team_name,CV_link,EV_team_name,EV_link,DV_team_name,DV_link
Argentina,Buenos Aires,Instituto Tecnológico de Buenos Aires,WRL-Combustion,https://fs-world.org/p2.php?u=1120&c=1,,,,
Australia,Adelaide,Flinders University (Adelaide),WRL-Combustion,https://fs-world.org/p2.php?u=1049&c=1,,,,
Australia,Adelaide,University of Adelaide,University of Adelaide Racing Concepts,https://tid.fsg.one/163,,,,
Australia,Adelaide ,University of South Australia,WRL-Combustion,https://fs-world.org/p2.php?u=490&c=1,WRL-Electric,https://fs-world.org/p2.php?u=490&c=2,,
Australia,Bentley,Curtin University (Bentley),Curtin Motorsport Team ,https://tid.fsg.one/428,,,,
Australia,Brisbane,Queensland University of Technology,,,QUT Motorsport,https://tid.fsg.one/621,QUT Motorsport,https://tid.fsg.one/1176
Australia,Brisbane,University of Queensland,UQ Racing,https://tid.fsg.one/46,,,UQ Racing FSAE Team,https://tid.fsg.one/1172
Australia,Callaghan,The University of Newcastle,NU Racing,https://tid.fsg.one/768,,,NU Racing Driver Less,https://tid.fsg.one/1162
Australia,Canberra ,Australian National University,WRL-Combustion,https://fs-world.org/p2.php?u=180&c=1,,,,
Australia,Canberra ,University of New South Wales - Australian Defence Force Academy,WRL-Combustion,https://fs-world.org/p2.php?u=539&c=1,,,,
Australia,Geelong,Deakin University,Deakin Race Technologies,https://tid.fsg.one/73,,,,
Australia,Joondalup,Edith Cowan University,Edith Cowan University Racing,https://tid.fsg.one/719,,,,
Australia,Melbourne,Monash University (Melbourne),Monash Motorsport,https://tid.fsg.one/54,Monash Motorsport,https://tid.fsg.one/910,Monash Motorsport,https://tid.fsg.one/968
Australia,Melbourne,RMIT University (Melbourne),RMIT Racing,https://tid.fsg.one/77,RMIT Electric Racing,https://tid.fsg.one/687,,
Australia,Melbourne,Swinburne University of Technology,team Swinburne,https://tid.fsg.one/87,Team Swinburne,https://tid.fsg.one/603,,
Australia,Melbourne,University of Melbourne,WRL-Combustion,https://fs-world.org/p2.php?u=304&c=1,WRL-Electric,https://fs-world.org/p2.php?u=304&c=2,,
Australia,Melbourne ,"Victoria University, Australia",WRL-Combustion,https://fs-world.org/p2.php?u=507&c=1,,,,
Australia,Mt Helen,Federation University Australia,WRL-Combustion,https://fs-world.org/p2.php?u=472&c=1,,,,
Australia,Nathan,Griffith University (Nathan),WRL-Combustion,https://fs-world.org/p2.php?u=972&c=1,,,,
Australia,Penrith,Western Sydney University,WRL-Combustion,https://fs-world.org/p2.php?u=1050&c=1,,,,
Australia,Perth,University of Western Australia (Perth),UWA Motorsport,https://tid.fsg.one/136,Formula REV,https://tid.fsg.one/335,,
Australia,Sandy Bay,University of Tasmania,WRL-Combustion,https://fs-world.org/p2.php?u=495&c=1,WRL-Electric,https://fs-world.org/p2.php?u=495&c=2,,
Australia,Sydney,University of New South Wales,Redback Racing,https://tid.fsg.one/48,,,,
Australia,Sydney,University of Sydney,WRL-Combustion,https://fs-world.org/p2.php?u=390&c=1,,,,
Australia,Sydney,"University of Technology, Sydney",UTS Motorsports,https://tid.fsg.one/168,,,UTS Motorsports Electric,https://tid.fsg.one/1072
Australia,Toowoomba ,University of Southern Queensland,WRL-Combustion,https://fs-world.org/p2.php?u=493&c=1,,,,
Australia,Townsville,James Cook University (Townsville),WRL-Combustion,https://fs-world.org/p2.php?u=923&c=1,,,,
Australia,Wollongong,University of Wollongong,WRL-Combustion,https://fs-world.org/p2.php?u=501&c=1,WRL-Electric,https://fs-world.org/p2.php?u=501&c=2,,
Austria,Graz,Fachhochschule Joanneum Graz,joanneum racing graz,https://tid.fsg.one/52,Joanneum Racing Graz,https://tid.fsg.one/1234,,
Austria,Graz,Technische Universität Graz,TU Graz Racing Team,https://tid.fsg.one/33,TU Graz Racing Team,https://tid.fsg.one/229,,
Austria,Innsbruck,Leopold-Franzens-Universität Innsbruck,,,Campus Tirol Motorsport,https://tid.fsg.one/830,,
Austria,Wien,FH Campus Wien,OS.Car Racing Team,https://tid.fsg.one/812,Os.Car Racing Team,https://tid.fsg.one/947,,
Austria,Wien,Technische Universität Wien,TUW Racing,https://tid.fsg.one/125,TU Wien Racing,https://tid.fsg.one/584,TUW Racing,https://tid.fsg.one/788
Bangladesh,Khulna,Khulna University of Engineering & Technology,KILO FLIGHT,https://tid.fsg.one/1076,,,,
Bangladesh,Rajshahi,Rajshahi University of Engineering & Technology,Crack Platoon,https://tid.fsg.one/795,Annexe Ruet,https://tid.fsg.one/1069,,
Belgium,Antwerpen,Karel de Grote University College,KdG Automotive,https://tid.fsg.one/371,,,,
Belgium,Brussels,Vrije Universiteit Brussel,,,VUB Racing,https://tid.fsg.one/871,,
Belgium,Ghent,Ghent University,,,,,UGent Racing,https://tid.fsg.one/1279
Belgium,Leuven,KU Leuven - Group T Campus,Formula Group T,https://tid.fsg.one/425,Formula Electric Belgium,https://tid.fsg.one/424,Formula Electric Belgium,https://tid.fsg.one/1102
Belgium,Sint-Katelijne-Waver,Thomas More Mechelen - De Nayer (Sint-Katelijne-Waver),Lessius Racing Team,https://tid.fsg.one/235,Thomas More Innovation,https://tid.fsg.one/440,,
Bosnia and Herzegovina,Mostar,University of Mostar,FSRacing Team,https://tid.fsg.one/938,,,,
Bosnia and Herzegovina,Sarajevo,University of Sarajevo,Arger Racing FS Team,https://tid.fsg.one/1240,,,,
Brazil,Aracaju,Universidade Federal de Sergipe,WRL-Combustion,https://fs-world.org/p2.php?u=865&c=1,,,,
Brazil,Araçatuba,UniSALESIANO Araçatuba,WRL-Combustion,https://fs-world.org/p2.php?u=1047&c=1,,,,
Brazil,Bauru,São Paulo State University - UNESP - Bauru,WRL-Combustion,https://fs-world.org/p2.php?u=925&c=1,,,,
Brazil,Belo Horizonte,Centro Federal de Educação Tecnológica de Minas Gerais,Fórmula CEFAST,https://tid.fsg.one/177,,,,
Brazil,Belo Horizonte,Universidade Federal de Minas Gerais,Formula SAE UFMG Team,https://tid.fsg.one/405,,,,
Brazil,Brasília,Universidade de Brasília,WRL-Combustion,https://fs-world.org/p2.php?u=198&c=1,,,,
Brazil,Campina Grande,Federal University of Paraíba,WRL-Combustion,https://fs-world.org/p2.php?u=696&c=1,,,,
Brazil,Campina Grande,Universidade Federal de Campina Grande,WRL-Combustion,https://fs-world.org/p2.php?u=1046&c=1,,,,
Brazil,Campinas,Universidade Estadual de Campinas,Equipe FSAE-UNICAMP,https://tid.fsg.one/170,Unicamp E-Racing,https://tid.fsg.one/442,,
Brazil,Campinas,Universidade Paulista - Campinas - Campus II,WRL-Combustion,https://fs-world.org/p2.php?u=1128&c=1,,,,
Brazil,Cascavel,Universidade Estadual do Oeste do Paraná,WRL-Combustion,https://fs-world.org/p2.php?u=1127&c=1,,,,
Brazil,Chapecó,Universidade Comunitária Regional de Chapecó,WRL-Combustion,https://fs-world.org/p2.php?u=924&c=1,,,,
Brazil,Cuiabá,Universidade Federal de Mato Grosso (Cuiabá),WRL-Combustion,https://fs-world.org/p2.php?u=974&c=1,,,,
Brazil,Curitiba,Universidade Federal do Paraná,WRL-Combustion,https://fs-world.org/p2.php?u=1045&c=1,,,,
Brazil,Curitiba,Universidade Tecnológica Federal do Paraná,WRL-Combustion,https://fs-world.org/p2.php?u=453&c=1,,,,
Brazil,Florianópolis,Universidade Federal de Santa Catarina,,,Ampera Racing,https://tid.fsg.one/513,,
Brazil,Fortaleza,Universidade Federal do Ceará,WRL-Combustion,https://fs-world.org/p2.php?u=210&c=1,,,,
Brazil,Guaratinguetá,Universidade Estadual Paulista - Guaratinguetá,WRL-Combustion,https://fs-world.org/p2.php?u=208&c=1,,,,
Brazil,Ilha Solteira,UNESP - Campus de Ilha Solteira,WRL-Combustion,https://fs-world.org/p2.php?u=755&c=1,,,,
Brazil,Itabira,Universidade Federal de Itajubá - Itabira,WRL-Combustion,https://fs-world.org/p2.php?u=808&c=1,,,,
Brazil,Itajubá,Universidade Federal de Itajubá - Itajubá,Cheetah Racing UNIFEI,https://tid.fsg.one/494,Cheetah E-Racing,https://tid.fsg.one/582,,
Brazil,Joinville,Universidade Federal de Santa Catarina - Joinville,WRL-Combustion,https://fs-world.org/p2.php?u=757&c=1,,,,
Brazil,Lavras,Universidade Federal De Lavras,WRL-Combustion,https://fs-world.org/p2.php?u=1121&c=1,,,,
Brazil,Lorena,Escola de Engenharia de Lorena da Universidade de São Paulo,WRL-Combustion,https://fs-world.org/p2.php?u=863&c=1,,,,
Brazil,Niterói,Universidade Federal Fluminense - Niterói,,,Faraday E-Racing,https://tid.fsg.one/1225,,
Brazil,Porto Alegre,Universidade Federal do Rio Grande do Sul,WRL-Combustion,https://fs-world.org/p2.php?u=754&c=1,,,,
Brazil,Rio de Janeiro,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,WRL-Combustion,https://fs-world.org/p2.php?u=197&c=1,,,,
Brazil,Rio de Janeiro,Universidade Federal do Rio de Janeiro,WRL-Combustion,https://fs-world.org/p2.php?u=207&c=1,,,,
Brazil,Salvador,Centro integrado de Manufatura e Tecnologia - SENAI/CIMATEC,WRL-Combustion,https://fs-world.org/p2.php?u=201&c=1,,,,
Brazil,Salvador,Universidade Federal da Bahia (Salvador),WRL-Combustion,https://fs-world.org/p2.php?u=753&c=1,,,,
Brazil,Santa Maria,Universidade Federal de Santa Maria,WRL-Combustion,https://fs-world.org/p2.php?u=695&c=1,,,,
Brazil,São Bernardo do Campo,Centro Universitário da FEI,,,Formula FEI Elétrico,https://tid.fsg.one/515,,
Brazil,São Caetano do Sul,Instituto Mauá de Tecnologia,Maua Racing,https://tid.fsg.one/1179,,,,
Brazil,São Carlos,Escola de Engenharia de São Carlos da Universidade de São Paulo,EESC - USP Formula SAE,https://tid.fsg.one/300,EESC-USP Tupã,https://tid.fsg.one/498,,
Brazil,São Carlos,Universidade Federal de São Carlos,WRL-Combustion,https://fs-world.org/p2.php?u=809&c=1,,,,
Brazil,São João del-Rei,Universidade Federal de São João del Rei,WRL-Combustion,https://fs-world.org/p2.php?u=864&c=1,,,,
Brazil,São José dos Campos,Universidade Paulista,WRL-Combustion,https://fs-world.org/p2.php?u=205&c=1,,,,
Brazil,Sao Paulo,Escola Politécnica da Universidade de São Paulo,Equipe Poli Racing,https://tid.fsg.one/239,,,,
Brazil,Sorocaba,Centro Universitário Facens (Sorocaba),V8 Racing,https://tid.fsg.one/212,B'Energy Racing,https://tid.fsg.one/499,UniFacens Racing,https://tid.fsg.one/1044
Brazil,Sorocaba,Universidade Paulista - Sorocaba,WRL-Combustion,https://fs-world.org/p2.php?u=608&c=1,,,,
Brazil,Tucuruí,Universidade Federal do Pará - Campus Tucuruí - UFPA,WRL-Combustion,https://fs-world.org/p2.php?u=1125&c=1,,,,
Brazil,Uberlândia,Universidade Federal de Uberlândia - UFU,UFU Racing,https://tid.fsg.one/1058,,,,
