University,CV_team_name,link
Instituto Tecnológico de Buenos Aires,WRL-Combustion,https://fs-world.org/p2.php?u=1120&c=1
Flinders University (Adelaide),WRL-Combustion,https://fs-world.org/p2.php?u=1049&c=1
University of Adelaide,University of Adelaide Racing Concepts,https://tid.fsg.one/163
University of South Australia,WRL-Combustion,https://fs-world.org/p2.php?u=490&c=1
Curtin University (Bentley),Curtin Motorsport Team ,https://tid.fsg.one/428
University of Queensland,UQ Racing,https://tid.fsg.one/46
The University of Newcastle,NU Racing,https://tid.fsg.one/768
Australian National University,WRL-Combustion,https://fs-world.org/p2.php?u=180&c=1
University of New South Wales - Australian Defence Force Academy,WRL-Combustion,https://fs-world.org/p2.php?u=539&c=1
Deakin University,Deakin Race Technologies,https://tid.fsg.one/73
Edith Cowan University,Edith Cowan University Racing,https://tid.fsg.one/719
Monash University (Melbourne),Monash Motorsport,https://tid.fsg.one/54
RMIT University (Melbourne),RMIT Racing,https://tid.fsg.one/77
Swinburne University of Technology,team Swinburne,https://tid.fsg.one/87
University of Melbourne,WRL-Combustion,https://fs-world.org/p2.php?u=304&c=1
"Victoria University, Australia",WRL-Combustion,https://fs-world.org/p2.php?u=507&c=1
Federation University Australia,WRL-Combustion,https://fs-world.org/p2.php?u=472&c=1
Griffith University (Nathan),WRL-Combustion,https://fs-world.org/p2.php?u=972&c=1
Western Sydney University,WRL-Combustion,https://fs-world.org/p2.php?u=1050&c=1
University of Western Australia (Perth),UWA Motorsport,https://tid.fsg.one/136
University of Tasmania,WRL-Combustion,https://fs-world.org/p2.php?u=495&c=1
University of New South Wales,Redback Racing,https://tid.fsg.one/48
University of Sydney,WRL-Combustion,https://fs-world.org/p2.php?u=390&c=1
"University of Technology, Sydney",UTS Motorsports,https://tid.fsg.one/168
University of Southern Queensland,WRL-Combustion,https://fs-world.org/p2.php?u=493&c=1
James Cook University (Townsville),WRL-Combustion,https://fs-world.org/p2.php?u=923&c=1
University of Wollongong,WRL-Combustion,https://fs-world.org/p2.php?u=501&c=1
Fachhochschule Joanneum Graz,joanneum racing graz,https://tid.fsg.one/52
Technische Universität Graz,TU Graz Racing Team,https://tid.fsg.one/33
FH Campus Wien,OS.Car Racing Team,https://tid.fsg.one/812
Technische Universität Wien,TUW Racing,https://tid.fsg.one/125
Khulna University of Engineering & Technology,KILO FLIGHT,https://tid.fsg.one/1076
Rajshahi University of Engineering & Technology,Crack Platoon,https://tid.fsg.one/795
Karel de Grote University College,KdG Automotive,https://tid.fsg.one/371
KU Leuven - Group T Campus,Formula Group T,https://tid.fsg.one/425
Thomas More Mechelen - De Nayer (Sint-Katelijne-Waver),Lessius Racing Team,https://tid.fsg.one/235
University of Mostar,FSRacing Team,https://tid.fsg.one/938
University of Sarajevo,Arger Racing FS Team,https://tid.fsg.one/1240
Universidade Federal de Sergipe,WRL-Combustion,https://fs-world.org/p2.php?u=865&c=1
UniSALESIANO Araçatuba,WRL-Combustion,https://fs-world.org/p2.php?u=1047&c=1
São Paulo State University - UNESP - Bauru,WRL-Combustion,https://fs-world.org/p2.php?u=925&c=1
Centro Federal de Educação Tecnológica de Minas Gerais,Fórmula CEFAST,https://tid.fsg.one/177
Universidade Federal de Minas Gerais,Formula SAE UFMG Team,https://tid.fsg.one/405
Universidade de Brasília,WRL-Combustion,https://fs-world.org/p2.php?u=198&c=1
Federal University of Paraíba,WRL-Combustion,https://fs-world.org/p2.php?u=696&c=1
Universidade Federal de Campina Grande,WRL-Combustion,https://fs-world.org/p2.php?u=1046&c=1
Universidade Estadual de Campinas,Equipe FSAE-UNICAMP,https://tid.fsg.one/170
Universidade Paulista - Campinas - Campus II,WRL-Combustion,https://fs-world.org/p2.php?u=1128&c=1
Universidade Estadual do Oeste do Paraná,WRL-Combustion,https://fs-world.org/p2.php?u=1127&c=1
Universidade Comunitária Regional de Chapecó,WRL-Combustion,https://fs-world.org/p2.php?u=924&c=1
Universidade Federal de Mato Grosso (Cuiabá),WRL-Combustion,https://fs-world.org/p2.php?u=974&c=1
Universidade Federal do Paraná,WRL-Combustion,https://fs-world.org/p2.php?u=1045&c=1
