University,DV_team_name,link
Queensland University of Technology,QUT Motorsport,https://tid.fsg.one/1176
University of Queensland,UQ Racing FSAE Team,https://tid.fsg.one/1172
The University of Newcastle,NU Racing Driver Less,https://tid.fsg.one/1162
Monash University (Melbourne),Monash Motorsport,https://tid.fsg.one/968
"University of Technology, Sydney",UTS Motorsports Electric,https://tid.fsg.one/1072
Technische Universität Wien,TUW Racing,https://tid.fsg.one/788
Ghent University,UGent Racing,https://tid.fsg.one/1279
KU Leuven - Group T Campus,Formula Electric Belgium,https://tid.fsg.one/1102
Centro Universitário Facens (Sorocaba),UniFacens Racing,https://tid.fsg.one/1044
Ryerson University (Toronto),LiTrans,https://tid.fsg.one/1171
University of Toronto,aUToronto,https://tid.fsg.one/1164
University of Waterloo,Waterloo Autonomous Racing,https://tid.fsg.one/1184
Beijing Institute of Technology,Beijing Institute of Technology FSD,https://tid.fsg.one/789
Liaoning University of Technology (Jinzhou),Wonder Driverless Racing Team,https://tid.fsg.one/992
Tongji University (Shanghai),DIAN Racing Driverless,https://tid.fsg.one/858
Harbin Institute of Technology at Weihai,HRT Driverless,https://tid.fsg.one/984
University of Zagreb,FSB Racing Team,https://tid.fsg.one/1229
Frederick University,Hope Driving,https://tid.fsg.one/969
Czech Technical University in Prague,eForce Driverless,https://tid.fsg.one/1070
Tallinn TU UAS,FS Team Tallinn Driverless,https://tid.fsg.one/966
Rheinisch-Westfälische Technische Hochschule Aachen,Ecurie Aix Formula Student Team RWTH Aachen e.V.,https://tid.fsg.one/774
Hochschule Aalen - Technik und Wirtschaft,E-Motion Rennteam Aalen e.V. Driverless,https://tid.fsg.one/885
Hochschule für angewandte Wissenschaften Augsburg,StarkStrom Driverless,https://tid.fsg.one/775
Universität Bayreuth,Elefant Racing e.V.,https://tid.fsg.one/1245
Hochschule für Technik und Wirtschaft Berlin,HTW Berlin Motorsport DV,https://tid.fsg.one/882
Technische Universität Berlin,FaSTTUBe Driverless,https://tid.fsg.one/1088
Ruhr-Universität Bochum,RUB Motorsport ,https://tid.fsg.one/1117
Technische Universität Braunschweig,Lions Racing Team e.V.,https://tid.fsg.one/1113
Universität Bremen,Bremergy Autonomous Racing,https://tid.fsg.one/818
Technische Universität Darmstadt,TU Darmstadt Racing Team e.V.,https://tid.fsg.one/779
Deggendorf Institute of Technology,Fast Forest Ghostdriver,https://tid.fsg.one/776
Technische Universität Dresden,Elbflorace Driverless,https://tid.fsg.one/838
Friedrich-Alexander-Universität Erlangen-Nürnberg,High-Octane Driverless,https://tid.fsg.one/932
Hochschule Esslingen,it:movES,https://tid.fsg.one/1158
Hochschule für Angewandte Wissenschaften Hamburg,HAWKS Racing Driverless,https://tid.fsg.one/986
Technische Universität Hamburg-Harburg,e-gnition driverless,https://tid.fsg.one/790
Leibniz Universität Hannover,HorsePower Hannover Driverless,https://tid.fsg.one/784
Technische Universität Ilmenau,Team Starcraft e.V. Driverless,https://tid.fsg.one/802
Technische Hochschule Ingolstadt,Schanzer Racing Electric,https://tid.fsg.one/794
Technische Universität Kaiserslautern,Kaiserslautern Racing Team - Driverless,https://tid.fsg.one/807
Karlsruhe Institute of Technology,KA-RaceIng Driverless,https://tid.fsg.one/786
UAS Kempten,Infinity Racing - Rennteam der Hochschule Kempten e.V.,https://tid.fsg.one/780
Technische Hochschule Köln,eMotorsports.cologne,https://tid.fsg.one/814
Fachhochschule Konstanz,Bodensee Racing Team Driverless,https://tid.fsg.one/1056
Hochschule Niederrhein (Krefeld),HSNR Racing,https://tid.fsg.one/798
Technische Hochschule Ostwestfalen-Lippe (Lemgo),OWL Racing-Team,https://tid.fsg.one/1192
Duale Hochschule Baden-Württemberg - Mannheim,CURE,https://tid.fsg.one/1092
Fachhochschule München,municHMotorsport,https://tid.fsg.one/781
Ludwig-Maximilians-Universität München,RoboRacers LMU,https://tid.fsg.one/911
Technical University of Munich,TUfast Driverless,https://tid.fsg.one/773
Fachhochschule Osnabrück,Ignition Racing Team driverless,https://tid.fsg.one/866
Universität Paderborn,UPBracing Team D e.V.,https://tid.fsg.one/1087
Duale Hochschule Baden-Württemberg Ravensburg,Global Formula Racing (DE),https://tid.fsg.one/1031
Ostbayerische Technische Hochschule Regensburg,Dynamics e.V. Driverless,https://tid.fsg.one/1099
Duale Hochschule Baden-Württemberg Stuttgart,DHBW Engineering Stuttgart e.V.,https://tid.fsg.one/1093
Universität Stuttgart,GreenTeam Driverless Uni Stuttgart,https://tid.fsg.one/782
University of Applied Sciences Ravensburg-Weingarten,Formula Student Team Weingarten Driverless,https://tid.fsg.one/867
Bergische Universität Wuppertal,GreenLion Racing Driverless,https://tid.fsg.one/896
Aristotle University of Thessaloniki,Aristotle University Racing Team Electric & Driverless,https://tid.fsg.one/1107
Budapest University of Technology and Economics,BME FRT Driverless,https://tid.fsg.one/890
R.V.College of Engineering (Bangalore),ASHWA RACING ,https://tid.fsg.one/945
Visvesvaraya Technological University,Drishti,https://tid.fsg.one/1159
Indian Institute of Technology Madras (Chennai),Vegam Racing,https://tid.fsg.one/933
Delhi Technological University,DTU Self Driving Car,https://tid.fsg.one/1165
Manipal Academy of Higher Education,Formula Manipal Driverless,https://tid.fsg.one/1042
Indian Institute of Technology Bombay (Mumbai),IIT Bombay Racing,https://tid.fsg.one/1248
K. J. Somaiya College of Engineering (Mumbai),Orion Racing India ,https://tid.fsg.one/1241
VIT University - Vellore,Pravega Racing ,https://tid.fsg.one/1133
Technion - Israel Institute of Technology,Formula Technion Driverless,https://tid.fsg.one/869
Università degli Studi di Firenze,FRT- Driverless,https://tid.fsg.one/809
University of Messina,Racing Team,https://tid.fsg.one/1177
University of Modena and Reggio Emilia,MoRe Modena Racing Driverless,https://tid.fsg.one/927
Università degli Studi di Napoli Federico II,UniNa Corse Driverless,https://tid.fsg.one/1144
Università di Pisa,E-Team Squadra Corse Driverless,https://tid.fsg.one/1128
"Università degli Studi di Roma ""La Sapienza""",Sapienza Corse Driverless ,https://tid.fsg.one/835
Politecnico di Torino,Squadra Corse DRIVERLESS Politecnico di Torino,https://tid.fsg.one/1268
TU Delft,Formula Student Team Delft Driverless,https://tid.fsg.one/974
Technische Universiteit Eindhoven,University Racing Eindhoven,https://tid.fsg.one/1019
Rotterdam University of Applied Sciences,Racing Team Rotterdam,https://tid.fsg.one/1206
Norwegian University of Science and Technology,Revolve NTNU Driverless,https://tid.fsg.one/821
AGH University of Science and Technology,AGH Racing Driverless,https://tid.fsg.one/1138
Poznan University of Technology,PUT Motorsport Driverless,https://tid.fsg.one/1104
Wroclaw University of Technology,PWR Racing Team Driverless,https://tid.fsg.one/1243
Universidade de Lisboa - Instituto Superior Técnico,FST Lisboa Driverless,https://tid.fsg.one/1098
Belgorod state technological university named after V. G. Shukhov,SRT Driverless,https://tid.fsg.one/1023
Bauman Moscow State Technical University,Bauman Racing Team,https://tid.fsg.one/1129
Moscow State Automobile & Road Technical University - MADI,Formula MADI,https://tid.fsg.one/1244
Slovak University of Technology in Bratislava,STUBA Green Team Driverless,https://tid.fsg.one/971
University of Maribor,UNI Maribor Grand Prix Engineering,https://tid.fsg.one/895
Escola d'Enginyeria de Barcelona Est. EEBE,e-Tech Racing,https://tid.fsg.one/1262
